N,epsilon,transition_prob,discount_factor,global_phase_size,aggregate_phase_size,algorithm,time,iterations,total_updates,error,num_mega_states,t_sa_final,theoretical_bound,speedup_updates
10,0.0005,0.7,0.9,5,20,value_iteration,0.01841601636260748,22,2200,0.0,,,0.010000000000000002,0.8461538461538461
10,0.0005,0.7,0.9,5,20,mega_state_agg,0.03699845680966973,65,2600,0.009887185250303077,30,50,0.010000000000000002,0.8461538461538461
10,0.0005,0.7,0.95,2,5,value_iteration,0.020066658034920692,23,2300,0.0,,,0.019999999999999983,0.9871244635193133
10,0.0005,0.7,0.95,2,5,mega_state_agg,0.030817784368991852,53,2330,0.019715422569968055,30,37,0.019999999999999983,0.9871244635193133
10,0.0005,0.7,0.95,2,10,value_iteration,0.020826156251132488,23,2300,0.0,,,0.019999999999999983,0.7301587301587301
10,0.0005,0.7,0.95,2,10,mega_state_agg,0.05195170920342207,93,3150,0.019986944754093017,30,77,0.019999999999999983,0.7301587301587301
10,0.0005,0.7,0.95,5,20,value_iteration,0.02238431479781866,23,2300,0.0,,,0.019999999999999983,0.7666666666666667
10,0.0005,0.7,0.95,5,20,mega_state_agg,0.04818991478532553,76,3000,0.014088642591131517,30,60,0.019999999999999983,0.7666666666666667
10,0.0005,0.7,0.99,2,5,value_iteration,0.021053162403404713,25,2500,0.0,,,0.09999999999999991,1.1013215859030836
10,0.0005,0.7,0.99,2,5,mega_state_agg,0.029956522397696972,51,2270,0.07352872317664172,30,35,0.09999999999999991,1.1013215859030836
10,0.0005,0.7,0.99,2,10,value_iteration,0.02284809574484825,25,2500,0.0,,,0.09999999999999991,0.8802816901408451
10,0.0005,0.7,0.99,2,10,mega_state_agg,0.04587804712355137,85,2840,0.0708823057165624,30,70,0.09999999999999991,0.8802816901408451
10,0.0005,0.92,0.8,2,5,value_iteration,0.012410246767103672,14,1400,0.0,,,0.005000000000000001,0.9090909090909091
10,0.0005,0.92,0.8,2,5,mega_state_agg,0.019832402002066374,37,1540,0.0028780846995646314,26,25,0.005000000000000001,0.9090909090909091
10,0.0005,0.7,0.99,5,20,value_iteration,0.023107923101633787,25,2500,0.0,,,0.09999999999999991,1.1363636363636365
10,0.0005,0.7,0.99,5,20,mega_state_agg,0.03190663084387779,54,2200,0.0939216640282492,30,40,0.09999999999999991,1.1363636363636365
10,0.0005,0.92,0.8,2,10,value_iteration,0.017269997857511044,14,1400,0.0,,,0.005000000000000001,0.7909604519774012
10,0.0005,0.92,0.8,2,10,mega_state_agg,0.030542468186467886,61,1770,0.003269233460253318,25,50,0.005000000000000001,0.7909604519774012
10,0.0005,0.92,0.8,5,20,value_iteration,0.012311486061662436,14,1400,0.0,,,0.005000000000000001,0.8871989860583016
10,0.0005,0.92,0.8,5,20,mega_state_agg,0.04544061794877052,44,1578,0.004502352099379436,27,34,0.005000000000000001,0.8871989860583016
10,0.0005,0.92,0.85,2,10,value_iteration,0.014513280242681503,14,1400,0.0,,,0.006666666666666666,0.7821229050279329
10,0.0005,0.92,0.85,2,10,mega_state_agg,0.035689805168658495,61,1790,0.006593225920629386,26,50,0.006666666666666666,0.7821229050279329
10,0.0005,0.92,0.85,5,20,value_iteration,0.012346075847744942,14,1400,0.0,,,0.006666666666666666,0.8045977011494253
10,0.0005,0.92,0.85,5,20,mega_state_agg,0.02583596110343933,50,1740,0.006234386945425108,27,40,0.006666666666666666,0.8045977011494253
10,0.0005,0.92,0.85,2,5,value_iteration,0.03372865682467818,14,1400,0.0,,,0.006666666666666666,0.9061488673139159
10,0.0005,0.92,0.85,2,5,mega_state_agg,0.03836743161082268,37,1545,0.003424117792595105,27,25,0.006666666666666666,0.9061488673139159
10,0.0005,0.92,0.9,5,20,value_iteration,0.013660669326782227,15,1500,0.0,,,0.010000000000000002,0.8152173913043478
10,0.0005,0.92,0.9,5,20,mega_state_agg,0.02628527069464326,51,1840,0.005759425885365488,27,40,0.010000000000000002,0.8152173913043478
10,0.0005,0.92,0.95,2,5,value_iteration,0.019248557277023792,15,1500,0.0,,,0.019999999999999983,0.8875739644970414
10,0.0005,0.92,0.95,2,5,mega_state_agg,0.022634671069681644,42,1690,0.019143756405755497,27,30,0.019999999999999983,0.8875739644970414
10,0.0005,0.92,0.9,2,10,value_iteration,0.019674018025398254,15,1500,0.0,,,0.010000000000000002,0.78125
10,0.0005,0.92,0.9,2,10,mega_state_agg,0.053300722036510706,62,1920,0.006036597971967872,28,50,0.010000000000000002,0.78125
10,0.0005,0.92,0.9,2,5,value_iteration,0.027125871740281582,15,1500,0.0,,,0.010000000000000002,0.9074410163339383
10,0.0005,0.92,0.9,2,5,mega_state_agg,0.05181704508140683,41,1653,0.009469620523955946,27,29,0.010000000000000002,0.9074410163339383
10,0.0005,0.92,0.95,2,10,value_iteration,0.012934721074998379,15,1500,0.0,,,0.019999999999999983,0.7853403141361257
10,0.0005,0.92,0.95,2,10,mega_state_agg,0.02657815907150507,62,1910,0.015533133018170275,27,50,0.019999999999999983,0.7853403141361257
10,0.0005,0.92,0.95,5,20,value_iteration,0.01420665206387639,15,1500,0.0,,,0.019999999999999983,0.7575757575757576
10,0.0005,0.92,0.95,5,20,mega_state_agg,0.028247729875147343,52,1980,0.008546932013960173,29,40,0.019999999999999983,0.7575757575757576
10,0.0005,0.92,0.99,5,20,value_iteration,0.0137275499291718,16,1600,0.0,,,0.09999999999999991,0.851063829787234
10,0.0005,0.92,0.99,5,20,mega_state_agg,0.026817964855581522,51,1880,0.059880731440419055,29,40,0.09999999999999991,0.851063829787234
10,0.0005,0.92,0.99,2,5,value_iteration,0.028640199918299913,16,1600,0.0,,,0.09999999999999991,1.0223642172523961
10,0.0005,0.92,0.99,2,5,mega_state_agg,0.019413741771131754,37,1565,0.04540528711295799,29,25,0.09999999999999991,1.0223642172523961
10,0.0005,0.95,0.8,2,5,value_iteration,0.02261936105787754,13,1300,0.0,,,0.005000000000000001,0.9090909090909091
10,0.0005,0.95,0.8,2,5,mega_state_agg,0.03260792884975672,36,1430,0.0033825913438247923,24,25,0.005000000000000001,0.9090909090909091
10,0.0005,0.95,0.8,2,10,value_iteration,0.011050453875213861,13,1300,0.0,,,0.005000000000000001,0.7386363636363636
10,0.0005,0.95,0.8,2,10,mega_state_agg,0.024965619202703238,61,1760,0.0025779396711360647,24,50,0.005000000000000001,0.7386363636363636
10,0.0005,0.92,0.99,2,10,value_iteration,0.029231564607471228,16,1600,0.0,,,0.09999999999999991,0.8743169398907104
10,0.0005,0.92,0.99,2,10,mega_state_agg,0.05724749015644193,61,1830,0.08164206415678343,29,50,0.09999999999999991,0.8743169398907104
10,0.0005,0.95,0.8,5,20,value_iteration,0.011554686352610588,13,1300,0.0,,,0.005000000000000001,0.7965686274509803
10,0.0005,0.95,0.8,5,20,mega_state_agg,0.03313062200322747,48,1632,0.004871131397682582,24,38,0.005000000000000001,0.7965686274509803
10,0.0005,0.95,0.85,2,5,value_iteration,0.012440027669072151,14,1400,0.0,,,0.006666666666666666,0.975609756097561
10,0.0005,0.95,0.85,2,5,mega_state_agg,0.01751343486830592,36,1435,0.004556378729263066,25,25,0.006666666666666666,0.975609756097561
10,0.0005,0.95,0.85,2,10,value_iteration,0.013098895084112883,14,1400,0.0,,,0.006666666666666666,0.7954545454545454
10,0.0005,0.95,0.85,2,10,mega_state_agg,0.024838206823915243,61,1760,0.00430572109660865,24,50,0.006666666666666666,0.7954545454545454
10,0.0005,0.95,0.9,2,5,value_iteration,0.0265396093018353,14,1400,0.0,,,0.010000000000000002,0.9120521172638436
10,0.0005,0.95,0.9,2,5,mega_state_agg,0.027219695039093494,37,1535,0.0038798020115144993,25,25,0.010000000000000002,0.9120521172638436
10,0.0005,0.95,0.85,5,20,value_iteration,0.0241718296892941,14,1400,0.0,,,0.006666666666666666,0.7777777777777778
10,0.0005,0.95,0.85,5,20,mega_state_agg,0.04347398690879345,51,1800,0.002831546661639983,25,40,0.006666666666666666,0.7777777777777778
10,0.0005,0.95,0.9,2,10,value_iteration,0.011947946157306433,14,1400,0.0,,,0.010000000000000002,0.7446808510638298
10,0.0005,0.95,0.9,2,10,mega_state_agg,0.02717186277732253,62,1880,0.0027365585060499242,25,50,0.010000000000000002,0.7446808510638298
10,0.0005,0.95,0.9,5,20,value_iteration,0.011809011921286583,14,1400,0.0,,,0.010000000000000002,0.7777777777777778
10,0.0005,0.95,0.9,5,20,mega_state_agg,0.025049421936273575,51,1800,0.003235320391822505,25,40,0.010000000000000002,0.7777777777777778
10,0.0005,0.95,0.95,2,5,value_iteration,0.012265834026038647,14,1400,0.0,,,0.019999999999999983,0.9032258064516129
10,0.0005,0.95,0.95,2,5,mega_state_agg,0.019252216909080744,37,1550,0.005985764699085294,27,25,0.019999999999999983,0.9032258064516129
10,0.0005,0.95,0.95,2,10,value_iteration,0.0074500348418951035,14,1400,0.0,,,0.019999999999999983,0.7446808510638298
10,0.0005,0.95,0.95,2,10,mega_state_agg,0.02423074096441269,62,1880,0.00940815108340054,25,50,0.019999999999999983,0.7446808510638298
10,0.0005,0.95,0.95,5,20,value_iteration,0.011939395684748888,14,1400,0.0,,,0.019999999999999983,0.7608695652173914
10,0.0005,0.95,0.95,5,20,mega_state_agg,0.02706609107553959,51,1840,0.016614873384510176,27,40,0.019999999999999983,0.7608695652173914
10,0.0005,0.95,0.99,2,5,value_iteration,0.013440974056720734,15,1500,0.0,,,0.09999999999999991,0.974025974025974
10,0.0005,0.95,0.99,2,5,mega_state_agg,0.0213427790440619,37,1540,0.030381874346577575,25,25,0.09999999999999991,0.974025974025974
10,0.0005,0.95,0.99,2,10,value_iteration,0.013951586093753576,15,1500,0.0,,,0.09999999999999991,0.8287292817679558
10,0.0005,0.95,0.99,2,10,mega_state_agg,0.027026090305298567,61,1810,0.05270020210273785,28,50,0.09999999999999991,0.8287292817679558
10,0.0005,0.95,0.99,5,20,value_iteration,0.012826558202505112,15,1500,0.0,,,0.09999999999999991,0.959079283887468
10,0.0005,0.95,0.99,5,20,mega_state_agg,0.021985904779285192,44,1564,0.0992118930261281,26,34,0.09999999999999991,0.959079283887468
10,0.0005,0.98,0.8,2,10,value_iteration,0.01024220371618867,12,1200,0.0,,,0.005000000000000001,0.8695652173913043
10,0.0005,0.98,0.8,2,10,mega_state_agg,0.01965709775686264,50,1380,0.0033180931792982093,16,40,0.005000000000000001,0.8695652173913043
10,0.0005,0.98,0.8,2,5,value_iteration,0.012136770877987146,12,1200,0.0,,,0.005000000000000001,1.00418410041841
10,0.0005,0.98,0.8,2,5,mega_state_agg,0.020448937080800533,30,1195,0.003801162111733092,17,20,0.005000000000000001,1.00418410041841
10,0.0005,0.98,0.8,5,20,value_iteration,0.010501570999622345,12,1200,0.0,,,0.005000000000000001,0.8571428571428571
10,0.0005,0.98,0.8,5,20,mega_state_agg,0.017460182774811983,40,1400,0.004369975387836789,22,30,0.005000000000000001,0.8571428571428571
10,0.0005,0.98,0.85,2,5,value_iteration,0.009875064715743065,12,1200,0.0,,,0.006666666666666666,0.8450704225352113
10,0.0005,0.98,0.85,2,5,mega_state_agg,0.01768896821886301,36,1420,0.0032966872715602946,23,25,0.006666666666666666,0.8450704225352113
10,0.0005,0.98,0.85,2,10,value_iteration,0.010820198804140091,12,1200,0.0,,,0.006666666666666666,0.8571428571428571
10,0.0005,0.98,0.85,2,10,mega_state_agg,0.02320373570546508,50,1400,0.006559472831725088,18,40,0.006666666666666666,0.8571428571428571
10,0.0005,0.98,0.9,2,5,value_iteration,0.010026899166405201,13,1300,0.0,,,0.010000000000000002,0.9219858156028369
10,0.0005,0.98,0.9,2,5,mega_state_agg,0.016597330570220947,36,1410,0.005464131280367823,23,25,0.010000000000000002,0.9219858156028369
10,0.0005,0.98,0.85,5,20,value_iteration,0.013668478932231665,12,1200,0.0,,,0.006666666666666666,0.8241758241758241
10,0.0005,0.98,0.85,5,20,mega_state_agg,0.02550736302509904,42,1456,0.006054939012338778,23,32,0.006666666666666666,0.8241758241758241
10,0.0005,0.98,0.9,2,10,value_iteration,0.011492454912513494,13,1300,0.0,,,0.010000000000000002,0.7514450867052023
10,0.0005,0.98,0.9,2,10,mega_state_agg,0.028450575191527605,61,1730,0.004079397235505766,23,50,0.010000000000000002,0.7514450867052023
10,0.0005,0.98,0.95,2,5,value_iteration,0.010575981810688972,13,1300,0.0,,,0.019999999999999983,0.9090909090909091
10,0.0005,0.98,0.95,2,5,mega_state_agg,0.01736563118174672,36,1430,0.017243402842574085,24,25,0.019999999999999983,0.9090909090909091
10,0.0005,0.98,0.9,5,20,value_iteration,0.013391851913183928,13,1300,0.0,,,0.010000000000000002,0.8655126498002663
10,0.0005,0.98,0.9,5,20,mega_state_agg,0.02505182195454836,44,1502,0.008733068463810056,23,34,0.010000000000000002,0.8655126498002663
10,0.0005,0.98,0.95,2,10,value_iteration,0.012605092953890562,13,1300,0.0,,,0.019999999999999983,0.7514450867052023
10,0.0005,0.98,0.95,2,10,mega_state_agg,0.03110997099429369,61,1730,0.013873098813395046,23,50,0.019999999999999983,0.7514450867052023
10,0.0005,0.98,0.99,2,5,value_iteration,0.010284115094691515,13,1300,0.0,,,0.09999999999999991,1.0061919504643964
10,0.0005,0.98,0.99,2,5,mega_state_agg,0.01577505236491561,34,1292,0.09318895557185769,23,24,0.09999999999999991,1.0061919504643964
10,0.0005,0.98,0.95,5,20,value_iteration,0.011519224848598242,13,1300,0.0,,,0.019999999999999983,0.8655126498002663
10,0.0005,0.98,0.95,5,20,mega_state_agg,0.026741743087768555,44,1502,0.01968350541659536,23,34,0.019999999999999983,0.8655126498002663
10,0.0005,0.98,0.99,2,10,value_iteration,0.010982683394104242,13,1300,0.0,,,0.09999999999999991,0.9219858156028369
10,0.0005,0.98,0.99,2,10,mega_state_agg,0.018828167114406824,50,1410,0.09785184706735528,18,40,0.09999999999999991,0.9219858156028369
10,0.0005,1.0,0.8,2,5,value_iteration,0.004871499724686146,10,1000,0.0,,,0.005000000000000001,0.8928571428571429
10,0.0005,1.0,0.8,2,5,mega_state_agg,0.011801442597061396,30,1120,5.503939435591576e-05,9,20,0.005000000000000001,0.8928571428571429
10,0.0005,1.0,0.8,5,20,value_iteration,0.004257375840097666,10,1000,0.0,,,0.005000000000000001,0.8928571428571429
10,0.0005,1.0,0.8,5,20,mega_state_agg,0.007592048030346632,30,1120,9.948125131220564e-06,6,20,0.005000000000000001,0.8928571428571429
10,0.0005,0.98,0.99,5,20,value_iteration,0.01289820997044444,13,1300,0.0,,,0.09999999999999991,0.9818731117824774
10,0.0005,0.98,0.99,5,20,mega_state_agg,0.019952254835516214,36,1324,0.09230008171471127,24,26,0.09999999999999991,0.9818731117824774
10,0.0005,1.0,0.8,2,10,value_iteration,0.005152618046849966,10,1000,0.0,,,0.005000000000000001,0.8064516129032258
10,0.0005,1.0,0.8,2,10,mega_state_agg,0.013399483170360327,50,1240,6.784763782485825e-05,9,40,0.005000000000000001,0.8064516129032258
10,0.0005,1.0,0.85,2,5,value_iteration,0.005146068055182695,10,1000,0.0,,,0.006666666666666666,0.8928571428571429
10,0.0005,1.0,0.85,2,5,mega_state_agg,0.009930305648595095,30,1120,0.00011289340532094627,9,20,0.006666666666666666,0.8928571428571429
10,0.0005,1.0,0.85,5,20,value_iteration,0.004937412217259407,10,1000,0.0,,,0.006666666666666666,0.8928571428571429
10,0.0005,1.0,0.85,5,20,mega_state_agg,0.008166342973709106,30,1120,1.615122792664181e-05,6,20,0.006666666666666666,0.8928571428571429
10,0.0005,1.0,0.9,2,5,value_iteration,0.005358242895454168,10,1000,0.0,,,0.010000000000000002,0.8928571428571429
10,0.0005,1.0,0.9,2,5,mega_state_agg,0.008722415659576654,30,1120,0.00015371880775827407,9,20,0.010000000000000002,0.8928571428571429
10,0.0005,1.0,0.85,2,10,value_iteration,0.007659620139747858,10,1000,0.0,,,0.006666666666666666,0.8064516129032258
10,0.0005,1.0,0.85,2,10,mega_state_agg,0.010214963927865028,50,1240,0.00015050439309760577,9,40,0.006666666666666666,0.8064516129032258
10,0.0005,1.0,0.9,5,20,value_iteration,0.005177067592740059,10,1000,0.0,,,0.010000000000000002,0.8928571428571429
10,0.0005,1.0,0.9,5,20,mega_state_agg,0.008378427941352129,30,1120,4.067249900341352e-05,6,20,0.010000000000000002,0.8928571428571429
10,0.0005,1.0,0.95,2,5,value_iteration,0.005123147275298834,10,1000,0.0,,,0.019999999999999983,0.8928571428571429
10,0.0005,1.0,0.95,2,5,mega_state_agg,0.008719386998564005,30,1120,0.00023886520196914063,9,20,0.019999999999999983,0.8928571428571429
10,0.0005,1.0,0.9,2,10,value_iteration,0.005136797204613686,10,1000,0.0,,,0.010000000000000002,0.8064516129032258
10,0.0005,1.0,0.9,2,10,mega_state_agg,0.01247970899567008,50,1240,0.0001031330243739248,9,40,0.010000000000000002,0.8064516129032258
10,0.0005,1.0,0.95,2,10,value_iteration,0.006552721839398146,10,1000,0.0,,,0.019999999999999983,0.8064516129032258
